"","rank","name","year","number_of_user_rating.million","rating"
"1",1,"The Shawshank Redemption",1994-12-08,1.884234,9.2166906400689
"2",2,"The Godfather",1972-12-08,1.286404,9.1608562905453
"3",3,"The Godfather: Part II",1974-12-08,0.887391,8.99722221107408
"4",4,"The Dark Knight",2008-12-08,1.860163,8.95334620760015
"5",5,"12 Angry Men",1957-12-08,0.516886,8.90427483778378
"6",6,"Schindler's List",1993-12-08,0.96872,8.89776647705254
"7",7,"Pulp Fiction",1994-12-08,1.473916,8.87128354224735
"8",8,"The Lord of the Rings: The Return of the King",2003-12-08,1.346472,8.86794652415444
"9",9,"The Good, the Bad and the Ugly",1966-12-08,0.558213,8.83747083290341
"10",10,"Fight Club",1999-12-08,1.51024,8.79126417504551
"11",11,"The Lord of the Rings: The Fellowship of the Ring",2001-12-08,1.366713,8.76901583473366
"12",12,"Forrest Gump",1994-12-08,1.421771,8.73448904783793
"13",13,"Star Wars: Episode V - The Empire Strikes Back",1980-12-08,0.940336,8.72980428017662
"14",14,"Inception",2010-12-08,1.649226,8.72457680305071
"15",15,"The Lord of the Rings: The Two Towers",2002-12-08,1.218733,8.6880913714643
"16",16,"One Flew Over the Cuckoo's Nest",1975-12-08,0.75224,8.67346178706619
"17",17,"Goodfellas",1990-12-08,0.811936,8.66484030965937
"18",18,"The Matrix",1999-12-08,1.355445,8.65248834075434
"19",19,"Seven Samurai",1954-12-08,0.253889,8.63733455104743
"20",20,"Star Wars: Episode IV - A New Hope",1977-12-08,1.0126,8.61345215281633
"21",21,"City of God",2002-12-08,0.58653,8.61186079484428
"22",22,"Se7en",1995-12-08,1.149129,8.60700365765776
"23",23,"The Silence of the Lambs",1991-12-08,1.003302,8.58963968837295
"24",24,"It's a Wonderful Life",1946-12-08,0.311468,8.5775451699583
"25",25,"Life Is Beautiful",1997-12-08,0.48341,8.57068624525952
"26",26,"The Usual Suspects",1995-12-08,0.823753,8.5603205133896
"27",27,"Léon: The Professional",1994-12-08,0.817632,8.54266569158486
"28",28,"Saving Private Ryan",1998-12-08,0.99143,8.53895002798967
"29",29,"Spirited Away",2001-12-08,0.484133,8.53885990760318
"30",30,"American History X",1998-12-08,0.867155,8.51084759255006
"31",31,"Once Upon a Time in the West",1968-12-08,0.242202,8.50968906655146
"32",32,"Interstellar",2014-12-08,1.115853,8.50900945556356
"33",33,"The Green Mile",1999-12-08,0.892337,8.50687855055751
"34",34,"Psycho",1960-12-08,0.475492,8.50579614213875
"35",35,"Casablanca",1942-12-08,0.429042,8.5033855699412
"36",36,"City Lights",1931-12-08,0.125336,8.50309111034358
"37",37,"The Intouchables",2011-12-08,0.589002,8.49074953429479
"38",38,"Modern Times",1936-12-08,0.164687,8.48989583088322
"39",39,"Coco",2017-12-08,0.02766,8.48325314268566
"40",40,"The Pianist",2002-12-08,0.566252,8.4820151252054
"41",41,"Raiders of the Lost Ark",1981-12-08,0.731419,8.48128855241095
"42",42,"The Departed",2006-12-08,0.973292,8.47998503202171
"43",43,"Rear Window",1954-12-08,0.354645,8.47818625009745
"44",44,"Terminator 2",1991-12-08,0.822613,8.47746660627558
"45",45,"Back to the Future",1985-12-08,0.827481,8.47378109271526
"46",46,"Whiplash",2014-12-08,0.514894,8.47162771443754
"47",47,"Gladiator",2000-12-08,1.093203,8.46490727547603
"48",48,"The Prestige",2006-12-08,0.956547,8.45735863379582
"49",49,"The Lion King",1994-12-08,0.733526,8.45731601372047
"50",50,"Memento",2000-12-08,0.940207,8.45274212970252
"51",51,"Apocalypse Now",1979-12-08,0.496615,8.45104362567077
"52",52,"Alien",1979-12-08,0.641659,8.4399514598665
"53",53,"The Great Dictator",1940-12-08,0.157371,8.42862601620592
"54",54,"Sunset Blvd.",1950-12-08,0.157088,8.42450154059439
"55",55,"Cinema Paradiso",1988-12-08,0.174241,8.42277590978532
"56",56,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964-12-08,0.378324,8.42247218976088
