"","business_id","full_address","open","city","review_count","name","longitude","state","stars","latitude","Take-out","Noise Level","Delivery","Has TV","Outdoor Seating","Attire","Accepts Credit Cards","Price Range","Smoking","Wi-Fi","Suggest_For","Environment","Parkingcondition","Musiccondition"
"1","5UmKMjUEUNdYWqANhGckJw","4734 Lebanon Church Rd
Dravosburg, PA 15034",TRUE,"Dravosburg",7,"Mr Hoagie",-79.9007057,"PA",3.5,40.3543266,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","Not Mentioned","No parking","No Record"
"2","UsFtqoBl7naz8AVUBZMjQQ","202 McClure St
Dravosburg, PA 15034",TRUE,"Dravosburg",5,"Clancy's Pub",-79.8868138,"PA",3,40.3505527,"No Record","No Record","No Record","No Record","FALSE","No Record","TRUE","1","No Record","No Record","No Record","No Record","No Record","No Record"
"4","mVHrayjG3uZ_RLHkLj-AMg","414 Hawkins Ave
Braddock, PA 15104",TRUE,"Braddock",26,"Emil's Lounge",-79.8662107,"PA",4.5,40.4088301,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","2","no","no","lunch","divey","No parking","No Music"
"6","KayYbHCt-RkbGcPdGOThNg","141 Hawthorne St
Greentree
Carnegie, PA 15106",TRUE,"Carnegie",23,"Alexion's Bar & Grill",-80.0675491,"PA",4,40.4154859,"TRUE","loud","FALSE","TRUE","TRUE","casual","TRUE","1","outdoor","free","dinner","casual","Can parking","No Music"
"13","wJr6kSA5dchdgOdwH6dZ2w","2100 Washington Pike
Carnegie, PA 15106",TRUE,"Carnegie",10,"Kings Family Restaurant",-80.0932152,"PA",3.5,40.3875124,"TRUE","No Record","FALSE","No Record","FALSE","casual","TRUE","1","No Record","No Record","Not Mentioned","No Record","No parking","No Record"
"14","yXuao0pFz1AxB21vJjDf5w","2100 Washington Pike
Carnegie, PA 15106",TRUE,"Carnegie",5,"Shop N' Save",-80.0932152,"PA",4,40.3875124,"TRUE","No Record","No Record","No Record","No Record","No Record","TRUE","1","No Record","No Record","No Record","No Record","Can parking","No Record"
"18","fNGIbpazjTRdXgwRY_NIXA","1201 Washington Ave
Carnegie, PA 15106",TRUE,"Carnegie",10,"Rocky's Lounge",-80.0849416,"PA",4,40.3964688,"TRUE","average","FALSE","TRUE","FALSE","casual","TRUE","1","no","free","Not Mentioned","divey","Can parking","No Music"
"19","b9WZJp5L1RZr4F1nxclOoQ","1073 Washington Ave
Carnegie, PA 15106",TRUE,"Carnegie",69,"Gab & Eat",-80.0834577,"PA",4.5,40.3980013,"TRUE","average","FALSE","TRUE","FALSE","casual","FALSE","1","No Record","no","breakfast","divey","Can parking","No Record"
"20","zaXDakTd3RXyOa7sMrUE1g","202 3rd Ave
Carnegie
Carnegie, PA 15106",TRUE,"Carnegie",9,"Barb's Country Junction Cafe",-80.089985,"PA",4,40.404638,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","No Record","brunch","Not Mentioned","No parking","No Record"
"22","WETE_LykpcnrC1sFcQ5EGg","215 E Main St
Carnegie
Carnegie, PA 15106",FALSE,"Carnegie",8,"Paddy's Pour House",-80.085279,"PA",3.5,40.40867,"TRUE","average","FALSE","TRUE","TRUE","casual","TRUE","2","No Record","No Record","latenight, dinner","Not Mentioned","Can parking","live"
"23","6o3RK6rTcN3nw-j-r2nQmA","231 E Main St
Carnegie
Carnegie, PA 15106",TRUE,"Carnegie",4,"Porto Fino Pizzaria & Gyro",-80.0849338,"PA",2.5,40.408832,"No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record","No Record"
"25","rv7CY8G_XibTx82YhuqQRw","Raceway Plz
Carnegie, PA 15106",TRUE,"Carnegie",6,"Long John Silver's",-80.0937037,"PA",3,40.3868915,"TRUE","average","FALSE","FALSE","FALSE","casual","TRUE","1","No Record","no","No Record","Not Mentioned","No parking","No Record"
"27","SQ0j7bgSTazkVQlF5AnqyQ","214 E Main St
Carnegie
Carnegie, PA 15106",TRUE,"Carnegie",10,"Don Don Chinese Restaurant",-80.0849615,"PA",2.5,40.4083473,"TRUE","quiet","TRUE","TRUE","FALSE","casual","TRUE","1","No Record","No Record","No Record","No Record","No parking","No Record"
